entity_id,state,last_changed
sensor.xiaomi_va3_a62c_hcho_density,0.031,2024-08-08T09:23:38.092Z
sensor.xiaomi_va3_a62c_hcho_density,0.029,2024-08-08T09:24:08.013Z
sensor.xiaomi_va3_a62c_hcho_density,0.034,2024-08-08T09:27:38.051Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T09:32:38.018Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T09:37:37.963Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T09:47:37.964Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T09:52:38.244Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T09:57:38.234Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T09:59:38.038Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T10:00:08.134Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T10:00:38.010Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T10:01:38.005Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T10:02:08.114Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T10:02:38.004Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T10:03:08.105Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T10:03:38.005Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T10:04:38.116Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T10:09:38.224Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-08T10:13:07.994Z
sensor.xiaomi_va3_a62c_hcho_density,0.052,2024-08-08T10:16:38.196Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-08T10:17:08.115Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-08T10:18:38.164Z
sensor.xiaomi_va3_a62c_hcho_density,0.065,2024-08-08T10:19:08.154Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T10:20:08.173Z
sensor.xiaomi_va3_a62c_hcho_density,0.075,2024-08-08T10:21:08.020Z
sensor.xiaomi_va3_a62c_hcho_density,0.077,2024-08-08T10:21:38.131Z
sensor.xiaomi_va3_a62c_hcho_density,0.074,2024-08-08T10:23:08.131Z
sensor.xiaomi_va3_a62c_hcho_density,0.072,2024-08-08T10:23:38.111Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T10:24:08.102Z
sensor.xiaomi_va3_a62c_hcho_density,0.069,2024-08-08T10:24:38.202Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T10:25:38.262Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-08T10:27:08.301Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-08T10:27:38.311Z
sensor.xiaomi_va3_a62c_hcho_density,0.04,2024-08-08T10:28:08.151Z
sensor.xiaomi_va3_a62c_hcho_density,0.039,2024-08-08T10:33:38.261Z
sensor.xiaomi_va3_a62c_hcho_density,0.06,2024-08-08T10:36:08.260Z
sensor.xiaomi_va3_a62c_hcho_density,0.065,2024-08-08T10:36:38.059Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T10:37:08.190Z
sensor.xiaomi_va3_a62c_hcho_density,0.045,2024-08-08T10:40:38.174Z
sensor.xiaomi_va3_a62c_hcho_density,0.04,2024-08-08T10:42:08.218Z
sensor.xiaomi_va3_a62c_hcho_density,0.045,2024-08-08T10:44:38.250Z
sensor.xiaomi_va3_a62c_hcho_density,0.065,2024-08-08T10:45:08.395Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T10:45:38.247Z
sensor.xiaomi_va3_a62c_hcho_density,0.05,2024-08-08T10:48:38.358Z
sensor.xiaomi_va3_a62c_hcho_density,0.044,2024-08-08T10:49:08.257Z
sensor.xiaomi_va3_a62c_hcho_density,0.039,2024-08-08T10:53:38.154Z
sensor.xiaomi_va3_a62c_hcho_density,0.065,2024-08-08T10:55:08.182Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T10:55:38.191Z
sensor.xiaomi_va3_a62c_hcho_density,0.045,2024-08-08T10:59:08.179Z
sensor.xiaomi_va3_a62c_hcho_density,0.04,2024-08-08T10:59:38.308Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T11:00:08.247Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T11:00:38.385Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T11:02:08.275Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T11:02:38.372Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T11:03:08.465Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T11:03:38.387Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T11:04:08.456Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T11:04:38.377Z
sensor.xiaomi_va3_a62c_hcho_density,0.039,2024-08-08T11:15:08.351Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-08T11:20:08.208Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T11:23:08.320Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T11:28:08.204Z
sensor.xiaomi_va3_a62c_hcho_density,0.04,2024-08-08T11:33:08.382Z
sensor.xiaomi_va3_a62c_hcho_density,0.039,2024-08-08T11:38:08.346Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T11:48:08.390Z
sensor.xiaomi_va3_a62c_hcho_density,0.037,2024-08-08T11:58:08.261Z
sensor.xiaomi_va3_a62c_hcho_density,0.04,2024-08-08T12:03:08.402Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-08T12:13:08.537Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-08T12:15:08.571Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-08T12:17:08.477Z
sensor.xiaomi_va3_a62c_hcho_density,0.065,2024-08-08T12:17:38.467Z
sensor.xiaomi_va3_a62c_hcho_density,0.044,2024-08-08T12:22:38.427Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-08T12:27:38.470Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T12:32:08.398Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T12:36:08.395Z
sensor.xiaomi_va3_a62c_hcho_density,0.034,2024-08-08T12:39:08.409Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T12:39:38.515Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T12:40:38.728Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T12:45:38.513Z
sensor.xiaomi_va3_a62c_hcho_density,0.036,2024-08-08T12:50:38.679Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T12:55:38.575Z
sensor.xiaomi_va3_a62c_hcho_density,0.04,2024-08-08T13:00:38.699Z
sensor.xiaomi_va3_a62c_hcho_density,0.043,2024-08-08T13:05:39.265Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-08T13:10:38.762Z
sensor.xiaomi_va3_a62c_hcho_density,0.057,2024-08-08T13:19:08.816Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-08T13:19:38.906Z
sensor.xiaomi_va3_a62c_hcho_density,0.073,2024-08-08T13:23:38.725Z
sensor.xiaomi_va3_a62c_hcho_density,0.069,2024-08-08T13:28:38.686Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-08T13:33:38.845Z
sensor.xiaomi_va3_a62c_hcho_density,0.073,2024-08-08T13:38:38.935Z
sensor.xiaomi_va3_a62c_hcho_density,0.075,2024-08-08T13:43:38.856Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-08T13:53:38.795Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-08T14:03:39.014Z
sensor.xiaomi_va3_a62c_hcho_density,0.084,2024-08-08T14:05:08.985Z
sensor.xiaomi_va3_a62c_hcho_density,0.083,2024-08-08T14:05:39.050Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-08T14:25:08.866Z
sensor.xiaomi_va3_a62c_hcho_density,0.086,2024-08-08T14:40:09.011Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-08T14:45:08.961Z
sensor.xiaomi_va3_a62c_hcho_density,0.083,2024-08-08T14:55:08.997Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-08T15:05:09.024Z
sensor.xiaomi_va3_a62c_hcho_density,0.084,2024-08-08T15:10:08.974Z
sensor.xiaomi_va3_a62c_hcho_density,0.083,2024-08-08T15:15:09.085Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-08T15:20:09.261Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-08T15:25:09.147Z
sensor.xiaomi_va3_a62c_hcho_density,0.081,2024-08-08T15:35:08.938Z
sensor.xiaomi_va3_a62c_hcho_density,0.08,2024-08-08T15:40:09.324Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-08T15:45:08.993Z
sensor.xiaomi_va3_a62c_hcho_density,0.078,2024-08-08T16:00:09.206Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-08T16:04:39.034Z
sensor.xiaomi_va3_a62c_hcho_density,0.08,2024-08-08T16:08:09.119Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-08T16:11:39.225Z
sensor.xiaomi_va3_a62c_hcho_density,0.09,2024-08-08T16:15:39.226Z
sensor.xiaomi_va3_a62c_hcho_density,0.094,2024-08-08T16:20:39.401Z
sensor.xiaomi_va3_a62c_hcho_density,0.099,2024-08-08T16:25:09.226Z
sensor.xiaomi_va3_a62c_hcho_density,0.101,2024-08-08T16:30:09.171Z
sensor.xiaomi_va3_a62c_hcho_density,0.103,2024-08-08T16:35:09.241Z
sensor.xiaomi_va3_a62c_hcho_density,0.105,2024-08-08T16:45:09.263Z
sensor.xiaomi_va3_a62c_hcho_density,0.108,2024-08-08T16:50:09.248Z
sensor.xiaomi_va3_a62c_hcho_density,0.109,2024-08-08T17:00:09.253Z
sensor.xiaomi_va3_a62c_hcho_density,0.11,2024-08-08T17:05:09.324Z
sensor.xiaomi_va3_a62c_hcho_density,0.111,2024-08-08T17:10:09.277Z
sensor.xiaomi_va3_a62c_hcho_density,0.113,2024-08-08T17:15:09.343Z
sensor.xiaomi_va3_a62c_hcho_density,0.114,2024-08-08T17:20:09.298Z
sensor.xiaomi_va3_a62c_hcho_density,0.111,2024-08-08T17:25:09.396Z
sensor.xiaomi_va3_a62c_hcho_density,0.113,2024-08-08T17:30:09.322Z
sensor.xiaomi_va3_a62c_hcho_density,0.111,2024-08-08T17:35:09.533Z
sensor.xiaomi_va3_a62c_hcho_density,0.11,2024-08-08T17:40:09.262Z
sensor.xiaomi_va3_a62c_hcho_density,0.112,2024-08-08T17:45:09.344Z
sensor.xiaomi_va3_a62c_hcho_density,0.113,2024-08-08T17:50:09.299Z
sensor.xiaomi_va3_a62c_hcho_density,0.115,2024-08-08T18:05:09.407Z
sensor.xiaomi_va3_a62c_hcho_density,0.114,2024-08-08T18:10:09.375Z
sensor.xiaomi_va3_a62c_hcho_density,0.118,2024-08-08T18:15:09.439Z
sensor.xiaomi_va3_a62c_hcho_density,0.116,2024-08-08T18:20:09.392Z
sensor.xiaomi_va3_a62c_hcho_density,0.118,2024-08-08T18:35:09.551Z
sensor.xiaomi_va3_a62c_hcho_density,0.12,2024-08-08T18:50:09.531Z
sensor.xiaomi_va3_a62c_hcho_density,0.119,2024-08-08T18:55:09.473Z
sensor.xiaomi_va3_a62c_hcho_density,0.114,2024-08-08T19:04:09.616Z
sensor.xiaomi_va3_a62c_hcho_density,0.109,2024-08-08T19:07:09.456Z
sensor.xiaomi_va3_a62c_hcho_density,0.104,2024-08-08T19:11:39.554Z
sensor.xiaomi_va3_a62c_hcho_density,0.101,2024-08-08T19:16:39.673Z
sensor.xiaomi_va3_a62c_hcho_density,0.098,2024-08-08T19:21:39.581Z
sensor.xiaomi_va3_a62c_hcho_density,0.096,2024-08-08T19:26:39.702Z
sensor.xiaomi_va3_a62c_hcho_density,0.094,2024-08-08T19:31:39.627Z
sensor.xiaomi_va3_a62c_hcho_density,0.093,2024-08-08T19:36:39.744Z
sensor.xiaomi_va3_a62c_hcho_density,0.092,2024-08-08T19:41:39.668Z
sensor.xiaomi_va3_a62c_hcho_density,0.091,2024-08-08T19:56:40.032Z
sensor.xiaomi_va3_a62c_hcho_density,0.088,2024-08-08T20:01:39.731Z
sensor.xiaomi_va3_a62c_hcho_density,0.087,2024-08-08T20:11:39.758Z
sensor.xiaomi_va3_a62c_hcho_density,0.086,2024-08-08T20:21:39.829Z
sensor.xiaomi_va3_a62c_hcho_density,0.083,2024-08-08T20:26:39.676Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-08T20:31:39.888Z
sensor.xiaomi_va3_a62c_hcho_density,0.083,2024-08-08T20:36:40.018Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-08T20:41:39.931Z
sensor.xiaomi_va3_a62c_hcho_density,0.086,2024-08-08T20:46:39.816Z
sensor.xiaomi_va3_a62c_hcho_density,0.088,2024-08-08T20:51:39.961Z
sensor.xiaomi_va3_a62c_hcho_density,0.093,2024-08-08T21:05:40.033Z
sensor.xiaomi_va3_a62c_hcho_density,0.098,2024-08-08T21:09:39.846Z
sensor.xiaomi_va3_a62c_hcho_density,0.103,2024-08-08T21:14:09.924Z
sensor.xiaomi_va3_a62c_hcho_density,0.108,2024-08-08T21:18:39.974Z
sensor.xiaomi_va3_a62c_hcho_density,0.11,2024-08-08T21:23:39.858Z
sensor.xiaomi_va3_a62c_hcho_density,0.113,2024-08-08T21:33:40.113Z
sensor.xiaomi_va3_a62c_hcho_density,0.115,2024-08-08T21:38:40.033Z
sensor.xiaomi_va3_a62c_hcho_density,0.114,2024-08-08T21:43:40.146Z
sensor.xiaomi_va3_a62c_hcho_density,0.115,2024-08-08T21:48:40.052Z
sensor.xiaomi_va3_a62c_hcho_density,0.116,2024-08-08T21:58:40.106Z
sensor.xiaomi_va3_a62c_hcho_density,0.119,2024-08-08T22:08:40.128Z
sensor.xiaomi_va3_a62c_hcho_density,0.117,2024-08-08T22:13:40.242Z
sensor.xiaomi_va3_a62c_hcho_density,0.119,2024-08-08T22:18:40.168Z
sensor.xiaomi_va3_a62c_hcho_density,0.121,2024-08-08T22:28:40.433Z
sensor.xiaomi_va3_a62c_hcho_density,0.122,2024-08-08T22:33:40.135Z
sensor.xiaomi_va3_a62c_hcho_density,0.124,2024-08-08T22:38:40.057Z
sensor.xiaomi_va3_a62c_hcho_density,0.125,2024-08-08T22:43:40.165Z
sensor.xiaomi_va3_a62c_hcho_density,0.122,2024-08-08T22:48:40.307Z
sensor.xiaomi_va3_a62c_hcho_density,0.124,2024-08-08T22:53:40.197Z
sensor.xiaomi_va3_a62c_hcho_density,0.125,2024-08-08T22:58:40.346Z
sensor.xiaomi_va3_a62c_hcho_density,0.126,2024-08-08T23:03:40.226Z
sensor.xiaomi_va3_a62c_hcho_density,0.125,2024-08-08T23:08:40.365Z
sensor.xiaomi_va3_a62c_hcho_density,0.126,2024-08-08T23:13:40.254Z
sensor.xiaomi_va3_a62c_hcho_density,0.125,2024-08-08T23:18:40.394Z
sensor.xiaomi_va3_a62c_hcho_density,0.124,2024-08-08T23:23:40.285Z
sensor.xiaomi_va3_a62c_hcho_density,0.126,2024-08-08T23:33:40.309Z
sensor.xiaomi_va3_a62c_hcho_density,0.127,2024-08-08T23:43:40.386Z
sensor.xiaomi_va3_a62c_hcho_density,0.125,2024-08-08T23:48:40.512Z
sensor.xiaomi_va3_a62c_hcho_density,0.12,2024-08-08T23:57:40.402Z
sensor.xiaomi_va3_a62c_hcho_density,0.115,2024-08-09T00:00:10.559Z
sensor.xiaomi_va3_a62c_hcho_density,0.11,2024-08-09T00:01:40.488Z
sensor.xiaomi_va3_a62c_hcho_density,0.105,2024-08-09T00:03:40.539Z
sensor.xiaomi_va3_a62c_hcho_density,0.1,2024-08-09T00:06:40.430Z
sensor.xiaomi_va3_a62c_hcho_density,0.097,2024-08-09T00:08:40.530Z
sensor.xiaomi_va3_a62c_hcho_density,0.096,2024-08-09T00:09:10.566Z
sensor.xiaomi_va3_a62c_hcho_density,0.095,2024-08-09T00:09:40.522Z
sensor.xiaomi_va3_a62c_hcho_density,0.092,2024-08-09T00:10:10.411Z
sensor.xiaomi_va3_a62c_hcho_density,0.091,2024-08-09T00:10:40.522Z
sensor.xiaomi_va3_a62c_hcho_density,0.09,2024-08-09T00:11:10.411Z
sensor.xiaomi_va3_a62c_hcho_density,0.088,2024-08-09T00:11:40.691Z
sensor.xiaomi_va3_a62c_hcho_density,0.089,2024-08-09T00:12:10.628Z
sensor.xiaomi_va3_a62c_hcho_density,0.087,2024-08-09T00:12:40.440Z
sensor.xiaomi_va3_a62c_hcho_density,0.086,2024-08-09T00:13:10.702Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-09T00:14:40.440Z
sensor.xiaomi_va3_a62c_hcho_density,0.084,2024-08-09T00:17:40.552Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-09T00:18:40.601Z
sensor.xiaomi_va3_a62c_hcho_density,0.081,2024-08-09T00:19:10.680Z
sensor.xiaomi_va3_a62c_hcho_density,0.08,2024-08-09T00:20:10.552Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-09T00:22:40.521Z
sensor.xiaomi_va3_a62c_hcho_density,0.078,2024-08-09T00:25:10.551Z
sensor.xiaomi_va3_a62c_hcho_density,0.076,2024-08-09T00:26:40.478Z
sensor.xiaomi_va3_a62c_hcho_density,0.074,2024-08-09T00:32:10.550Z
sensor.xiaomi_va3_a62c_hcho_density,0.072,2024-08-09T00:37:10.474Z
sensor.xiaomi_va3_a62c_hcho_density,0.07,2024-08-09T00:42:10.525Z
sensor.xiaomi_va3_a62c_hcho_density,0.069,2024-08-09T00:43:40.624Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-09T00:45:10.722Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T00:51:10.843Z
sensor.xiaomi_va3_a62c_hcho_density,0.062,2024-08-09T00:52:10.584Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T00:52:40.667Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T00:54:40.765Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-09T00:56:10.655Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T00:56:40.533Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-09T00:57:40.524Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T00:58:10.646Z
sensor.xiaomi_va3_a62c_hcho_density,0.043,2024-08-09T00:58:40.574Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T00:59:10.804Z
sensor.xiaomi_va3_a62c_hcho_density,0.043,2024-08-09T00:59:40.574Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T01:00:10.905Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-09T01:00:41.015Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T01:01:10.894Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T01:01:40.943Z
sensor.xiaomi_va3_a62c_hcho_density,0.057,2024-08-09T01:02:10.915Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T01:02:40.862Z
sensor.xiaomi_va3_a62c_hcho_density,0.062,2024-08-09T01:03:10.905Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T01:03:40.786Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-09T01:07:41.033Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T01:09:40.934Z
sensor.xiaomi_va3_a62c_hcho_density,0.043,2024-08-09T01:11:10.752Z
sensor.xiaomi_va3_a62c_hcho_density,0.041,2024-08-09T01:11:40.993Z
sensor.xiaomi_va3_a62c_hcho_density,0.042,2024-08-09T01:12:10.842Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T01:12:40.759Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-09T01:13:10.862Z
sensor.xiaomi_va3_a62c_hcho_density,0.069,2024-08-09T01:13:40.854Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-09T01:14:10.993Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T01:15:10.793Z
sensor.xiaomi_va3_a62c_hcho_density,0.068,2024-08-09T01:16:10.792Z
sensor.xiaomi_va3_a62c_hcho_density,0.069,2024-08-09T01:16:40.924Z
sensor.xiaomi_va3_a62c_hcho_density,0.067,2024-08-09T01:22:10.867Z
sensor.xiaomi_va3_a62c_hcho_density,0.071,2024-08-09T01:26:40.862Z
sensor.xiaomi_va3_a62c_hcho_density,0.076,2024-08-09T01:29:10.891Z
sensor.xiaomi_va3_a62c_hcho_density,0.081,2024-08-09T01:30:40.960Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-09T01:35:40.942Z
sensor.xiaomi_va3_a62c_hcho_density,0.077,2024-08-09T01:37:10.933Z
sensor.xiaomi_va3_a62c_hcho_density,0.08,2024-08-09T01:42:11.044Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-09T01:46:11.265Z
sensor.xiaomi_va3_a62c_hcho_density,0.09,2024-08-09T01:46:40.926Z
sensor.xiaomi_va3_a62c_hcho_density,0.089,2024-08-09T01:47:40.915Z
sensor.xiaomi_va3_a62c_hcho_density,0.084,2024-08-09T01:48:10.965Z
sensor.xiaomi_va3_a62c_hcho_density,0.078,2024-08-09T01:48:40.854Z
sensor.xiaomi_va3_a62c_hcho_density,0.075,2024-08-09T01:49:10.964Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-09T01:50:10.886Z
sensor.xiaomi_va3_a62c_hcho_density,0.083,2024-08-09T01:50:40.965Z
sensor.xiaomi_va3_a62c_hcho_density,0.085,2024-08-09T01:51:11.033Z
sensor.xiaomi_va3_a62c_hcho_density,0.086,2024-08-09T01:51:40.955Z
sensor.xiaomi_va3_a62c_hcho_density,0.084,2024-08-09T01:52:11.055Z
sensor.xiaomi_va3_a62c_hcho_density,0.078,2024-08-09T01:54:11.045Z
sensor.xiaomi_va3_a62c_hcho_density,0.076,2024-08-09T01:54:40.905Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-09T01:55:40.925Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-09T01:56:10.875Z
sensor.xiaomi_va3_a62c_hcho_density,0.08,2024-08-09T01:57:40.845Z
sensor.xiaomi_va3_a62c_hcho_density,0.077,2024-08-09T01:58:10.955Z
sensor.xiaomi_va3_a62c_hcho_density,0.074,2024-08-09T01:58:40.926Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-09T02:00:40.976Z
sensor.xiaomi_va3_a62c_hcho_density,0.084,2024-08-09T02:02:11.069Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-09T02:07:11.326Z
sensor.xiaomi_va3_a62c_hcho_density,0.08,2024-08-09T02:08:11.235Z
sensor.xiaomi_va3_a62c_hcho_density,0.077,2024-08-09T02:08:41.205Z
sensor.xiaomi_va3_a62c_hcho_density,0.075,2024-08-09T02:09:10.895Z
sensor.xiaomi_va3_a62c_hcho_density,0.074,2024-08-09T02:09:41.006Z
sensor.xiaomi_va3_a62c_hcho_density,0.075,2024-08-09T02:10:10.898Z
sensor.xiaomi_va3_a62c_hcho_density,0.078,2024-08-09T02:10:40.996Z
sensor.xiaomi_va3_a62c_hcho_density,0.079,2024-08-09T02:11:10.884Z
sensor.xiaomi_va3_a62c_hcho_density,0.082,2024-08-09T02:11:41.262Z
sensor.xiaomi_va3_a62c_hcho_density,0.081,2024-08-09T02:12:10.999Z
sensor.xiaomi_va3_a62c_hcho_density,0.076,2024-08-09T02:13:10.923Z
sensor.xiaomi_va3_a62c_hcho_density,0.071,2024-08-09T02:15:11.096Z
sensor.xiaomi_va3_a62c_hcho_density,0.076,2024-08-09T02:16:41.075Z
sensor.xiaomi_va3_a62c_hcho_density,0.077,2024-08-09T02:19:11.022Z
sensor.xiaomi_va3_a62c_hcho_density,0.074,2024-08-09T02:19:41.035Z
sensor.xiaomi_va3_a62c_hcho_density,0.073,2024-08-09T02:20:10.924Z
sensor.xiaomi_va3_a62c_hcho_density,0.072,2024-08-09T02:21:10.921Z
sensor.xiaomi_va3_a62c_hcho_density,0.073,2024-08-09T02:21:41.022Z
sensor.xiaomi_va3_a62c_hcho_density,0.074,2024-08-09T02:22:41.025Z
sensor.xiaomi_va3_a62c_hcho_density,0.077,2024-08-09T02:23:10.900Z
